Image,Words
Facebook_Food_117.jpeg,"['แล่', 'ดเฟรนษ์ฟรายส์', 'ไห้', 'ยู', 'เรียล', 'ชี', 'สส', 'ติ๊ก', 'ชิ้น', 'เฟรนซ์ฟ', 'สฒ', 'ไก่', 'ชุ', 'เปอร์', 'ป้อ', 'เครื่อง', 'ตื้ม', 'ะน', 'วัฒ', '๑๕', 'กจรซึปม', 'ศก', 'ดธท', '๐๐']"
Facebook_Food_118.jpeg,"['หมัก', 'ชอสโช', 'ยุ', 'โค', 'จิ', 'ย่าง', 'ถ่าน', 'ไก่', 'หมัก', 'ชอสโช', 'ยุ', 'โค', 'จิ', 'ไข่ตุ๋น', 'วโฒ', 'เพีย', 'แกน']"
Facebook_Food_119.jpeg,"['ดเ', 'แถม', 'สเติก', 'ไก่ย่าง', 'ซี่']"
Facebook_Food_12.jpeg,"['สั่ง', 'เห', '๐๕', 'ธธค', 'ภา', 'ธร', 'ธา', 'สั่ง', 'ผ่า', 'เว', 'ฟี', 'พิเศษ', 'วา', 'ปกติ', 'ซุป', 'ชาบู', 'ชาบู', 'สุกี้', 'ยา']"
Facebook_Food_120.jpeg,"['แห', 'ชุ', 'เรียล', 'ธีสส', 'ติ๊ก', 'ชิ้น', '๐๐', 'ล้ว', 'เพ', 'ยง', 'อย', 'มล', 'ศดออ', 'ออด', 'เอ', 'ไข', 'เป็นไป', 'ามท่นรทําหนด']"
Facebook_Food_121.jpeg,"['แถม', 'เตก', 'ไก่ย่าง', 'ชี', 'บาร์บีคิว', 'อะ', 'ใิโค้', 'เหลอ', 'เพ', 'เส', 'สรง', 'สด', 'เสิฉ', 'สุ']"
Facebook_Food_122.jpeg,"['ผง', 'วจ', 'ผ้า', 'ไว', 'วุ', 'ริ', 'ปสแน็ค', 'ใส่', 'โค้', '๑๓', 'เหลอ', 'เพ', 'ยว', 'ซี']"
Facebook_Food_123.jpeg,"['แถม', 'เบอร์เกอร์', 'ปลา', 'แช', 'เบอร์เกอร์', 'หมู', 'ใส่', 'โค้ด', 'เม', 'ปแผม', 'เสต', 'สูต', 'ตุ', 'ดบ', 'ร้านค้า', 'ศาร']"
Facebook_Food_124.jpeg,"['เล่น', 'แางคว', 'หมู', 'ขาง', 'ขาว', 'เห', 'นย', 'ขว', 'ใส่', 'ดะ', 'เฉ', 'จม', 'ศดธท', 'ถี', '๐๐', 'ย่']"
Facebook_Food_125.jpeg,"['่ปิก', 'ไก่', 'บาร์บีคิว', 'ชิน', 'ส่โค้', 'ธกกจ', 'เจอ', 'กล', '๐๐']"
Facebook_Food_126.jpeg,"['กย', 'วิกล', 'แทอ', 'รบ', 'ทอก', 'เฮ่อ', 'กรอก', 'ฒัจัฆพ์ตว']"
Facebook_Food_127.jpeg,"['ลิ', 'ชชาร์ด', 'ไซส์', 'ถ้วย', 'ใส่', 'โค้', '๓๒๕๒', 'เหือ', 'เพียร', 'บชั', 'สัมกดอถ', '๐๐', 'ฮ่']"
Facebook_Food_128.jpeg,"['ชุด', 'เบอร์เกอร์', 'ไก่', 'กรอบ', 'ชีส', 'ญูธบ', 'คระ']"
Facebook_Food_129.jpeg,"['กยก่ชืน', 'อะ', 'แพ', 'ลือ', 'พี', 'ยง', 'ธะสค', 'ใส่', 'โค้ด', '๑๑', 'ะหยสม', 'เสต', 'สูต', 'ตุ', 'ดบ', 'ร้านค้า', 'ศาร']"
Facebook_Food_13.jpeg,"['มเลม', 'เรือง', 'ชา', 'วิ', 'ลัข', 'คน', 'ตระกูล', 'ไร้', 'ไข', 'หน้า', 'อ่า', 'วน', 'แต้', 'อง', 'ร้า', 'เห่', 'โป', 'แต้ว', 'แทน', 'หจงโญ', 'เจ', 'เร', 'ฝฝนวรรหอพรนอ', 'ประ', 'โท', 'แพ', 'ิคษ']"
Facebook_Food_130.jpeg,"['๑๑', 'เลด', 'แรง', 'ลิ', 'คุ้ม', 'ทิ', '๐๐๐', 'ข่์า', 'บั้น', '๑๑๐๐', 'ศด', 'ออ', 'เฮ่', 'ส่วนลด', 'จํานวบจํา', 'กัด', 'เงื่อนไข', 'เป็นไป', 'บริษัท', 'กําหนด']"
Facebook_Food_131.jpeg,"['ศลดธ', '๐๐', 'อข่ฎิ', 'สมา', 'ใคลสสพรคล', 'ทะ', 'ตํา']"
